graph,result,population,generations,time
bio-celegans.dimacs,20138,50,10000,89.41
bio-diseasome.dimacs,22205,50,10000,55.72
bio-dmela.dimacs,232236,50,10000,529.33
bio-yeast.dimacs,36168,50,10000,20.01
ca-AstroPh.dimacs,1052588,50,626,1067.94
ca-CondMat.dimacs,1110851,50,470,1069.51
ca-CSphd.dimacs,48899,50,10000,16.45
ca-Erdos992.dimacs,40710,50,0,0.10
ca-GrQc.dimacs,192127,50,10000,755.94
ca-HepPh.dimacs,589462,50,1658,962.46
ca-netscience.dimacs,19292,50,10000,55.27
ia-email-EU.dimacs,78310,50,0,0.66
ia-email-univ.dimacs,52453,50,10000,237.76
ia-enron-large.dimacs,1223811,50,402,1074.66
ia-enron-only.dimacs,5988,50,10000,25.74
ia-fb-messages.dimacs,51452,50,10000,175.71
ia-infect-dublin.dimacs,25845,50,10000,74.74
ia-infect-hyper.dimacs,4942,50,94,0.42
ia-reality.dimacs,3601,50,0,0.10
inf-power.dimacs,199461,50,9908,904.32
rec-amazon.dimacs,4251412,50,43,2944.78
rt-retweet.dimacs,1339,50,0,0.03
rt-twitter-copen.dimacs,19353,50,10000,14.47
soc-brightkite.dimacs,1899085,50,350,1077.38
soc-dolphins.dimacs,969,50,310,0.49
soc-epinions.dimacs,860809,50,1535,932.87
